time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-03 00:00:00+00:00,1.0,1.0,13.0,4.0
2024-01-04 00:00:00+00:00,1.0,1.0,36.0,7.0
2024-01-05 00:00:00+00:00,1.0,1.0,41.0,7.0
2024-01-06 00:00:00+00:00,4.0,2.0,2.0,1.0
2024-01-07 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-01-08 00:00:00+00:00,3.0,3.0,8.0,4.0
2024-01-09 00:00:00+00:00,2.0,2.0,8.0,6.0
2024-01-10 00:00:00+00:00,2.0,2.0,50.0,11.0
2024-01-11 00:00:00+00:00,2.0,2.0,47.0,6.0
2024-01-12 00:00:00+00:00,2.0,2.0,9.0,4.0
2024-01-13 00:00:00+00:00,1.0,1.0,,
2024-01-14 00:00:00+00:00,3.0,3.0,,
2024-01-15 00:00:00+00:00,2.0,2.0,14.0,10.0
2024-01-16 00:00:00+00:00,,,6.0,5.0
