time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-07 00:00:00+00:00,1,1,14.0,8.0
2023-06-08 00:00:00+00:00,2,2,9.0,5.0
2023-06-09 00:00:00+00:00,1,1,4.0,2.0
2023-06-10 00:00:00+00:00,1,1,,
2023-06-11 00:00:00+00:00,1,1,5.0,4.0
2023-06-12 00:00:00+00:00,3,3,4.0,3.0
2023-06-13 00:00:00+00:00,1,1,6.0,5.0
2023-06-14 00:00:00+00:00,1,1,9.0,3.0
2023-06-15 00:00:00+00:00,2,2,36.0,10.0
2023-06-16 00:00:00+00:00,2,2,6.0,3.0
2023-06-17 00:00:00+00:00,1,1,,
2023-06-18 00:00:00+00:00,1,1,9.0,5.0
2023-06-19 00:00:00+00:00,4,4,21.0,3.0
2023-06-20 00:00:00+00:00,1,1,5.0,2.0
