time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-17 00:00:00+00:00,3.0,3.0,4.0,4.0
2025-11-18 00:00:00+00:00,5.0,5.0,1.0,1.0
2025-11-19 00:00:00+00:00,6.0,6.0,3.0,3.0
2025-11-20 00:00:00+00:00,11.0,10.0,2.0,2.0
2025-11-21 00:00:00+00:00,5.0,3.0,2.0,2.0
2025-11-22 00:00:00+00:00,4.0,4.0,1.0,1.0
2025-11-23 00:00:00+00:00,4.0,4.0,,
2025-11-24 00:00:00+00:00,3.0,3.0,1.0,1.0
2025-11-25 00:00:00+00:00,2.0,2.0,,
2025-11-26 00:00:00+00:00,11.0,11.0,1.0,1.0
2025-11-27 00:00:00+00:00,2.0,2.0,3.0,3.0
2025-11-28 00:00:00+00:00,4.0,4.0,2.0,1.0
2025-11-29 00:00:00+00:00,2.0,2.0,19.0,3.0
2025-11-30 00:00:00+00:00,,,6.0,5.0
