time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-28 00:00:00+00:00,1.0,1.0,3,3
2024-02-29 00:00:00+00:00,2.0,2.0,16,6
2024-03-01 00:00:00+00:00,1.0,1.0,16,6
2024-03-02 00:00:00+00:00,1.0,1.0,3,2
2024-03-03 00:00:00+00:00,1.0,1.0,6,2
2024-03-04 00:00:00+00:00,3.0,3.0,88,6
2024-03-05 00:00:00+00:00,4.0,4.0,11,6
2024-03-06 00:00:00+00:00,1.0,1.0,6,5
2024-03-07 00:00:00+00:00,2.0,2.0,17,8
2024-03-08 00:00:00+00:00,1.0,1.0,1,1
2024-03-09 00:00:00+00:00,2.0,2.0,3,2
2024-03-10 00:00:00+00:00,5.0,2.0,14,2
2024-03-11 00:00:00+00:00,2.0,2.0,36,5
2024-03-12 00:00:00+00:00,,,14,9
