time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,40,19,4.0,4.0
2025-08-28 00:00:00+00:00,6,5,,
2025-08-29 00:00:00+00:00,1,1,4.0,4.0
2025-08-30 00:00:00+00:00,5,5,,
2025-08-31 00:00:00+00:00,4,4,2.0,2.0
2025-09-01 00:00:00+00:00,2,2,,
2025-09-02 00:00:00+00:00,5,5,4.0,4.0
2025-09-03 00:00:00+00:00,5,5,3.0,3.0
2025-09-04 00:00:00+00:00,5,5,1.0,1.0
2025-09-05 00:00:00+00:00,4,4,1.0,1.0
2025-09-06 00:00:00+00:00,5,5,,
2025-09-07 00:00:00+00:00,6,6,,
2025-09-08 00:00:00+00:00,1,1,1.0,1.0
2025-09-09 00:00:00+00:00,2,2,,
