time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-18 00:00:00+00:00,4.0,3.0,5.0,4.0
2025-08-19 00:00:00+00:00,5.0,5.0,1.0,1.0
2025-08-20 00:00:00+00:00,4.0,4.0,4.0,4.0
2025-08-21 00:00:00+00:00,2.0,2.0,1.0,1.0
2025-08-22 00:00:00+00:00,2.0,2.0,2.0,1.0
2025-08-23 00:00:00+00:00,2.0,2.0,,
2025-08-24 00:00:00+00:00,6.0,6.0,7.0,2.0
2025-08-25 00:00:00+00:00,2.0,2.0,3.0,3.0
2025-08-26 00:00:00+00:00,4.0,4.0,4.0,4.0
2025-08-27 00:00:00+00:00,40.0,19.0,4.0,4.0
2025-08-28 00:00:00+00:00,6.0,5.0,,
2025-08-29 00:00:00+00:00,1.0,1.0,4.0,4.0
2025-08-30 00:00:00+00:00,5.0,5.0,,
2025-08-31 00:00:00+00:00,,,2.0,2.0
