url_path,views_total,views_unique
/Swiple/swiple/blob/main/backend/Dockerfile,130,10
/Swiple/swiple,36,32
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/opensearch.yaml,8,1
/Swiple/swiple/tree/main,5,2
/Swiple/swiple/blob/main/backend/main.py,5,1
/Swiple/swiple/blob/main/docs/static/img/logo-slogan.svg,4,2
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/db/client.py,4,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/models/base_model.py,4,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/settings.py,4,1
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/repositories/base.py,3,1
