time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-19 00:00:00+00:00,3.0,3.0,8,3
2022-12-20 00:00:00+00:00,5.0,5.0,68,5
2022-12-21 00:00:00+00:00,3.0,3.0,14,2
2022-12-22 00:00:00+00:00,3.0,3.0,60,7
2022-12-23 00:00:00+00:00,4.0,4.0,57,3
2022-12-24 00:00:00+00:00,4.0,4.0,2,1
2022-12-25 00:00:00+00:00,3.0,3.0,1,1
2022-12-26 00:00:00+00:00,4.0,3.0,3,1
2022-12-27 00:00:00+00:00,3.0,3.0,33,6
2022-12-28 00:00:00+00:00,3.0,3.0,90,4
2022-12-29 00:00:00+00:00,5.0,5.0,19,4
2022-12-30 00:00:00+00:00,2.0,2.0,2,2
2022-12-31 00:00:00+00:00,25.0,3.0,58,1
2023-01-01 00:00:00+00:00,,,18,1
