time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-23 00:00:00+00:00,5.0,2.0,3,3
2023-09-24 00:00:00+00:00,1.0,1.0,15,4
2023-09-25 00:00:00+00:00,5.0,3.0,1,1
2023-09-26 00:00:00+00:00,1.0,1.0,7,5
2023-09-27 00:00:00+00:00,1.0,1.0,23,6
2023-09-28 00:00:00+00:00,3.0,2.0,32,5
2023-09-29 00:00:00+00:00,4.0,2.0,3,3
2023-09-30 00:00:00+00:00,1.0,1.0,4,2
2023-10-01 00:00:00+00:00,1.0,1.0,9,4
2023-10-02 00:00:00+00:00,4.0,4.0,4,3
2023-10-03 00:00:00+00:00,1.0,1.0,45,9
2023-10-04 00:00:00+00:00,1.0,1.0,121,5
2023-10-05 00:00:00+00:00,4.0,3.0,10,3
2023-10-06 00:00:00+00:00,,,10,2
