time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,8,4,1,1
2026-03-18 00:00:00+00:00,6,2,1,1
2026-03-19 00:00:00+00:00,7,3,1,1
2026-03-20 00:00:00+00:00,8,4,5,5
2026-03-21 00:00:00+00:00,13,5,10,4
2026-03-22 00:00:00+00:00,5,5,6,4
2026-03-23 00:00:00+00:00,8,4,1,1
2026-03-24 00:00:00+00:00,16,8,5,3
2026-03-25 00:00:00+00:00,6,2,5,4
2026-03-26 00:00:00+00:00,11,3,4,4
2026-03-27 00:00:00+00:00,11,7,4,3
2026-03-28 00:00:00+00:00,16,8,1,1
2026-03-29 00:00:00+00:00,13,9,1,1
2026-03-30 00:00:00+00:00,72,12,2,2
