time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-26 00:00:00+00:00,29.0,4.0,32.0,2.0
2023-01-27 00:00:00+00:00,6.0,3.0,32.0,5.0
2023-01-28 00:00:00+00:00,6.0,4.0,10.0,5.0
2023-01-29 00:00:00+00:00,20.0,5.0,9.0,3.0
2023-01-30 00:00:00+00:00,8.0,4.0,30.0,8.0
2023-01-31 00:00:00+00:00,32.0,7.0,43.0,11.0
2023-02-01 00:00:00+00:00,20.0,5.0,37.0,7.0
2023-02-02 00:00:00+00:00,16.0,3.0,78.0,6.0
2023-02-03 00:00:00+00:00,8.0,5.0,122.0,8.0
2023-02-04 00:00:00+00:00,3.0,3.0,,
2023-02-05 00:00:00+00:00,2.0,2.0,3.0,2.0
2023-02-06 00:00:00+00:00,3.0,3.0,16.0,4.0
2023-02-07 00:00:00+00:00,15.0,5.0,37.0,5.0
2023-02-08 00:00:00+00:00,,,13.0,4.0
