url_path,views_total,views_unique
/Swiple/swiple/blob/main/backend/Dockerfile,52,14
/Swiple/swiple,31,29
/Swiple/swiple/tree/main/backend,22,6
/Swiple/swiple/tree/main/backend/app,20,4
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/api/api_v1/auth_router.py,18,2
/Swiple/swiple/blob/main/docker/.env-local,16,2
/Swiple/swiple/blob/main/docker/.env,14,3
/Swiple/swiple/blob/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app/main.py,13,3
/Swiple/swiple/tree/main/frontend/src,10,1
/Swiple/swiple/tree/35c639a6773c39ef08cbf4becde6ac56f9e82e54/backend/app,9,1
