time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-25 00:00:00+00:00,6,2,5,4
2026-03-26 00:00:00+00:00,11,3,4,4
2026-03-27 00:00:00+00:00,11,7,4,3
2026-03-28 00:00:00+00:00,16,8,1,1
2026-03-29 00:00:00+00:00,13,9,1,1
2026-03-30 00:00:00+00:00,72,12,2,2
2026-03-31 00:00:00+00:00,10,6,6,6
2026-04-01 00:00:00+00:00,4,4,0,0
2026-04-02 00:00:00+00:00,10,6,2,2
2026-04-03 00:00:00+00:00,30,20,4,4
2026-04-04 00:00:00+00:00,17,9,5,3
2026-04-05 00:00:00+00:00,8,4,6,5
2026-04-06 00:00:00+00:00,12,8,5,4
2026-04-07 00:00:00+00:00,11,6,4,4
