url_path,views_total,views_unique
/Swiple/swiple,10,10
/Swiple/swiple/blob/main/backend/Dockerfile,5,4
/Swiple/swiple/discussions,3,2
/Swiple/swiple/issues,2,2
/Swiple/swiple/pulls,2,2
/Swiple/swiple/commit/5719b7bf415d4914b55f7aeb621b488da1b61e88,2,1
/Swiple/swiple/commit/6e429236570c774cca9bc8e3783ad8e6040591ac,2,1
/Swiple/swiple/commit/a574eb7c2e83974d560e4f6f012407d4050ca171,2,1
/Swiple/swiple/pull/79/files,2,1
/Swiple/swiple/blob/main/package-lock.json,1,1
