time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-02 00:00:00+00:00,1,1,1.0,1.0
2025-10-03 00:00:00+00:00,4,4,2.0,2.0
2025-10-04 00:00:00+00:00,1,1,3.0,2.0
2025-10-05 00:00:00+00:00,3,3,,
2025-10-06 00:00:00+00:00,7,6,2.0,2.0
2025-10-07 00:00:00+00:00,4,4,17.0,4.0
2025-10-08 00:00:00+00:00,4,4,1.0,1.0
2025-10-09 00:00:00+00:00,7,6,1.0,1.0
2025-10-10 00:00:00+00:00,8,8,2.0,2.0
2025-10-11 00:00:00+00:00,9,9,,
2025-10-12 00:00:00+00:00,7,7,1.0,1.0
2025-10-13 00:00:00+00:00,4,3,4.0,3.0
2025-10-14 00:00:00+00:00,25,6,12.0,3.0
2025-10-15 00:00:00+00:00,21,10,6.0,6.0
