time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-05 00:00:00+00:00,6,3,2.0,1.0
2025-04-06 00:00:00+00:00,1,1,,
2025-04-07 00:00:00+00:00,4,2,6.0,5.0
2025-04-08 00:00:00+00:00,1,1,1.0,1.0
2025-04-09 00:00:00+00:00,7,4,30.0,10.0
2025-04-10 00:00:00+00:00,5,2,3.0,2.0
2025-04-11 00:00:00+00:00,6,3,8.0,5.0
2025-04-12 00:00:00+00:00,5,2,2.0,2.0
2025-04-13 00:00:00+00:00,5,2,2.0,2.0
2025-04-14 00:00:00+00:00,4,2,8.0,5.0
2025-04-15 00:00:00+00:00,2,2,3.0,3.0
2025-04-16 00:00:00+00:00,2,2,3.0,2.0
2025-04-17 00:00:00+00:00,4,2,6.0,3.0
2025-04-18 00:00:00+00:00,6,1,4.0,2.0
