time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-12 00:00:00+00:00,12,4,0,0
2026-01-13 00:00:00+00:00,8,4,0,0
2026-01-14 00:00:00+00:00,16,7,4,4
2026-01-15 00:00:00+00:00,8,4,1,1
2026-01-16 00:00:00+00:00,7,3,0,0
2026-01-17 00:00:00+00:00,9,5,2,2
2026-01-18 00:00:00+00:00,9,5,2,2
2026-01-19 00:00:00+00:00,20,8,1,1
2026-01-20 00:00:00+00:00,13,5,2,2
2026-01-21 00:00:00+00:00,12,8,4,4
2026-01-22 00:00:00+00:00,10,6,1,1
2026-01-23 00:00:00+00:00,8,4,2,2
2026-01-24 00:00:00+00:00,15,7,4,3
2026-01-25 00:00:00+00:00,2,2,0,0
